time,frequency,confidence
3.35,166.610,0.182407
3.36,32.823,0.136747
3.37,246.682,0.084648
3.38,247.582,0.409488
3.39,249.348,0.448626
3.40,250.967,0.503251
3.41,248.145,0.311133
3.42,243.979,0.403701
3.43,335.945,0.385943
3.44,331.943,0.237514
3.45,357.483,0.218943
3.46,356.383,0.404662
3.47,179.085,0.205377
3.48,336.838,0.356708
3.49,96.170,0.212929
3.50,248.915,0.208790
3.51,173.136,0.246773
3.52,344.300,0.280944
3.53,176.119,0.529245
3.54,176.347,0.404461
3.55,176.307,0.248643
3.56,177.864,0.104913
3.57,183.761,0.018220
3.58,184.668,0.114599
3.59,450.610,0.169804
3.60,456.034,0.466724
3.61,462.645,0.551436
3.62,470.933,0.633097
3.63,479.239,0.830338
3.64,485.368,0.896683
3.65,486.887,0.883861
3.66,487.612,0.875514
3.67,487.869,0.870333
3.68,488.533,0.895221
3.69,490.013,0.927423
3.70,490.731,0.944299
3.71,491.120,0.950730
3.72,491.420,0.940093
3.73,491.496,0.941493
3.74,490.658,0.945552
3.75,489.740,0.936046
3.76,488.366,0.886843
3.77,488.478,0.899851
3.78,490.047,0.932996
3.79,490.845,0.945270
3.80,491.232,0.941208
3.81,491.544,0.938024
3.82,490.508,0.943516
3.83,489.687,0.935978
3.84,488.433,0.894597
3.85,488.415,0.897211
3.86,489.118,0.905020
3.87,489.416,0.918160
3.88,489.393,0.917181
3.89,489.073,0.907021
3.90,487.874,0.887358
3.91,485.269,0.914585
3.92,482.552,0.853365
3.93,479.514,0.875455
3.94,478.950,0.815792
3.95,478.848,0.831268
3.96,478.914,0.741415
3.97,476.005,0.559551
3.98,472.764,0.637386
3.99,472.566,0.741692
4.00,472.111,0.796273
4.01,479.441,0.702706
4.02,244.430,0.417489
4.03,245.214,0.369494
4.04,493.711,0.410377
4.05,491.362,0.573884
4.06,488.451,0.627476
4.07,487.859,0.606245
4.08,483.606,0.480389
4.09,243.093,0.286922
4.10,487.177,0.476603
4.11,487.858,0.628965
4.12,490.658,0.490171
4.13,490.960,0.350765
4.14,486.815,0.169910
4.15,487.454,0.339227
4.16,484.623,0.424435
4.17,483.674,0.574002
4.18,488.822,0.330869
4.19,488.107,0.261379
4.20,246.902,0.190108
4.21,248.605,0.384455
4.22,246.178,0.224246
4.23,484.341,0.373510
4.24,418.209,0.251332
4.25,248.635,0.211489
4.26,252.831,0.248873
4.27,252.454,0.343693
4.28,252.854,0.311836
4.29,253.164,0.301740
4.30,252.728,0.178616
4.31,424.256,0.169634
4.32,426.492,0.255445
4.33,425.020,0.404256
4.34,427.587,0.453027
4.35,428.551,0.192518
4.36,248.084,0.231111
4.37,251.618,0.416828
4.38,429.459,0.353623
4.39,430.168,0.314031
4.40,428.389,0.612062
4.41,431.853,0.400042
4.42,432.177,0.312713
4.43,432.064,0.586819
4.44,431.767,0.794779
4.45,432.808,0.624106
4.46,432.987,0.372346
4.47,434.561,0.750857
4.48,433.091,0.752966
4.49,433.060,0.581527
4.50,433.736,0.526273
4.51,435.012,0.660172
4.52,436.327,0.204185
4.53,439.810,0.094211
4.54,145.876,0.189809
4.55,151.035,0.224876
4.56,458.125,0.348033
4.57,467.680,0.709383
4.58,472.397,0.810447
4.59,476.009,0.878155
4.60,481.439,0.875981
4.61,485.090,0.929462
4.62,488.257,0.896428
4.63,489.554,0.930200
4.64,489.945,0.934446
