time,frequency,confidence
3.29,54.062,0.007386
3.30,54.433,0.020834
3.31,1841.249,0.037383
3.32,1852.849,0.022207
3.33,1259.062,0.018085
3.34,96.615,0.007343
3.35,1097.432,0.015713
3.36,134.386,0.010972
3.37,181.098,0.158831
3.38,164.326,0.226059
3.39,164.741,0.304876
3.40,150.899,0.542625
3.41,149.040,0.815640
3.42,146.272,0.867384
3.43,142.484,0.781415
3.44,139.137,0.888975
3.45,136.664,0.855424
3.46,134.617,0.950183
3.47,133.688,0.958509
3.48,132.905,0.953111
3.49,131.989,0.952160
3.50,130.940,0.963647
3.51,130.101,0.919218
3.52,129.544,0.921684
3.53,129.161,0.907910
3.54,128.311,0.917650
3.55,127.242,0.915729
3.56,126.418,0.950539
3.57,126.022,0.942202
3.58,126.130,0.941915
3.59,125.964,0.909763
3.60,126.691,0.892311
3.61,128.080,0.805997
3.62,131.380,0.849255
3.63,134.365,0.784881
3.64,135.970,0.807535
3.65,133.978,0.725001
3.66,132.340,0.575669
3.67,132.073,0.186719
3.68,123.931,0.222279
3.69,302.559,0.503467
3.70,305.089,0.330289
3.71,306.428,0.169188
3.72,294.835,0.111496
3.73,35.976,0.176517
3.74,36.415,0.198173
3.75,36.397,0.463498
3.76,51.055,0.342908
3.77,35.997,0.259586
3.78,33.914,0.128473
3.79,33.172,0.118920
3.80,33.107,0.210546
3.81,33.186,0.384894
3.82,33.303,0.190523
3.83,33.001,0.473428
3.84,32.872,0.562104
3.85,36.681,0.159272
3.86,51.902,0.464285
3.87,131.043,0.088790
3.88,129.386,0.059874
3.89,32.214,0.085634
3.90,131.871,0.324267
3.91,115.785,0.290784
3.92,123.396,0.323474
3.93,123.501,0.200629
3.94,0.000,nan
3.95,0.000,nan
3.96,0.000,nan
3.97,0.000,nan
3.98,0.000,nan
3.99,0.000,nan
4.00,0.000,nan
4.01,0.000,nan
4.02,0.000,nan
4.03,0.000,nan
4.04,0.000,nan
4.05,0.000,nan
4.06,0.000,nan
4.07,0.000,nan
4.08,0.000,nan
4.09,0.000,nan
4.10,0.000,nan
4.11,0.000,nan
4.12,0.000,nan
4.13,0.000,nan
4.14,0.000,nan
4.15,0.000,nan
4.16,0.000,nan
4.17,0.000,nan
4.18,0.000,nan
4.19,0.000,nan
4.20,0.000,nan
4.21,0.000,nan
4.22,0.000,nan
4.23,0.000,nan
4.24,0.000,nan
4.25,0.000,nan
4.26,0.000,nan
4.27,0.000,nan
4.28,0.000,nan
4.29,0.000,nan
4.30,0.000,nan
4.31,0.000,nan
4.32,0.000,nan
4.33,0.000,nan
4.34,0.000,nan
4.35,0.000,nan
4.36,0.000,nan
4.37,0.000,nan
4.38,0.000,nan
4.39,0.000,nan
4.40,0.000,nan
4.41,0.000,nan
4.42,0.000,nan
4.43,0.000,nan
4.44,0.000,nan
4.45,0.000,nan
4.46,0.000,nan
4.47,0.000,nan
4.48,0.000,nan
4.49,0.000,nan
4.50,0.000,nan
4.51,0.000,nan
4.52,0.000,nan
4.53,0.000,nan
4.54,0.000,nan
4.55,0.000,nan
4.56,0.000,nan
4.57,0.000,nan
4.58,0.000,nan
4.59,0.000,nan
4.60,0.000,nan
4.61,0.000,nan
4.62,547.159,0.140256
4.63,546.861,0.131970
4.64,546.519,0.128015
4.65,546.722,0.132325
4.66,545.744,0.086490
4.67,545.190,0.057753
4.68,544.489,0.053789
4.69,546.741,0.071113
4.70,549.655,0.029321
4.71,278.492,0.009275
4.72,179.378,0.012207
4.73,177.368,0.017168
4.74,176.714,0.050594
4.75,270.829,0.110245
4.76,274.591,0.113017
4.77,274.754,0.097109
4.78,89.057,0.173345
4.79,177.909,0.143497
4.80,177.458,0.113419
4.81,181.375,0.104531
4.82,548.311,0.048769
4.83,545.724,0.012653
4.84,1395.647,0.004380
4.85,1387.345,0.004882
4.86,1372.602,0.007560
4.87,1350.459,0.025746
4.88,1345.519,0.044284
4.89,1345.941,0.016546
4.90,538.273,0.003139
4.91,1988.474,0.008906
4.92,420.674,0.025582
4.93,637.473,0.012861
4.94,629.717,0.019709
4.95,634.506,0.005729
4.96,1945.042,0.026497
