time,frequency,confidence
3.01,1176.398,0.117305
3.02,1180.026,0.391635
3.03,1188.281,0.486587
3.04,1278.558,0.225608
3.05,1300.798,0.503235
3.06,1334.037,0.173976
3.07,1463.371,0.315538
3.08,1648.000,0.361212
3.09,1648.532,0.333433
3.10,1719.617,0.404277
3.11,1753.356,0.636269
3.12,1833.796,0.621306
3.13,1867.102,0.719136
3.14,1891.046,0.410639
3.15,1958.468,0.185583
3.16,416.219,0.088663
3.17,579.958,0.145514
3.18,583.536,0.154604
3.19,412.575,0.094914
3.20,739.047,0.098476
3.21,654.937,0.067013
3.22,663.508,0.113465
3.23,663.828,0.044618
3.24,703.504,0.077250
3.25,700.391,0.077645
3.26,714.299,0.104396
3.27,575.561,0.120406
3.28,1163.339,0.131625
3.29,1176.395,0.307654
3.30,1188.870,0.294842
3.31,1254.888,0.277254
3.32,1299.403,0.421045
3.33,1331.177,0.266275
3.34,1456.838,0.512268
3.35,1512.340,0.230023
3.36,1642.365,0.275377
3.37,1689.580,0.254252
3.38,1753.521,0.561598
3.39,1823.085,0.566518
3.40,1862.541,0.709586
3.41,1883.414,0.444887
3.42,1937.692,0.143085
3.43,1171.535,0.109556
3.44,578.438,0.147804
3.45,394.141,0.180071
3.46,408.835,0.110664
3.47,370.961,0.119648
3.48,739.608,0.066226
3.49,689.465,0.062104
3.50,684.585,0.054926
3.51,633.564,0.048227
3.52,685.520,0.059783
3.53,678.877,0.058108
3.54,1159.257,0.041673
3.55,1169.011,0.178768
3.56,1178.742,0.431746
3.57,1193.064,0.330708
3.58,1279.821,0.278172
3.59,1305.251,0.481325
3.60,1435.845,0.282552
3.61,1462.307,0.584848
3.62,1512.133,0.329560
3.63,1610.925,0.251785
3.64,1672.955,0.301555
3.65,1732.313,0.505579
3.66,1834.803,0.470439
3.67,1867.796,0.680537
3.68,1887.339,0.418995
3.69,1954.423,0.205533
3.70,1176.679,0.112848
3.71,394.307,0.171545
3.72,394.742,0.150774
3.73,407.534,0.137744
3.74,743.115,0.179775
3.75,738.184,0.151554
3.76,723.791,0.116381
3.77,655.215,0.151586
3.78,733.062,0.134430
3.79,725.916,0.053640
3.80,713.057,0.026931
3.81,1177.599,0.043481
3.82,1178.645,0.266911
3.83,1182.991,0.519230
3.84,1232.850,0.246234
3.85,1283.453,0.387741
3.86,1311.785,0.478907
3.87,1430.597,0.435498
3.88,1478.843,0.503958
3.89,1642.349,0.241302
3.90,1617.920,0.341586
3.91,1685.979,0.312389
3.92,1742.209,0.642193
3.93,1798.922,0.531995
3.94,1859.830,0.613598
3.95,1886.183,0.416284
3.96,1929.696,0.251507
3.97,1176.435,0.080652
3.98,579.810,0.102173
3.99,583.146,0.195847
4.00,745.739,0.121645
4.01,746.342,0.156065
4.02,1050.923,0.091447
4.03,1165.327,0.047297
4.04,1314.713,0.028913
4.05,588.317,0.048220
4.06,583.128,0.022480
4.07,1116.856,0.019759
4.08,139.299,0.018553
4.09,1166.359,0.035797
4.10,1182.041,0.209448
4.11,1224.394,0.241219
4.12,1266.139,0.379526
4.13,1300.332,0.500116
4.14,1330.998,0.320817
4.15,1434.976,0.546218
4.16,1490.631,0.354814
4.17,1640.087,0.299997
4.18,1618.326,0.282742
4.19,1736.586,0.467264
4.20,1782.919,0.543521
4.21,1844.839,0.564291
4.22,1879.639,0.470303
4.23,1912.966,0.279157
4.24,1172.782,0.077514
4.25,574.246,0.125791
4.26,580.324,0.221844
4.27,415.965,0.132575
4.28,399.450,0.153691
4.29,582.236,0.190862
4.30,589.550,0.158806
4.31,364.379,0.087837
4.32,360.253,0.106358
4.33,1283.453,0.018949
4.34,1191.527,0.016349
4.35,1182.204,0.046800
4.36,1175.777,0.126603
4.37,1181.548,0.518640
4.38,1189.078,0.579734
4.39,1251.065,0.406805
4.40,1297.488,0.562877
4.41,1313.972,0.482509
4.42,1438.829,0.532939
4.43,1492.542,0.459840
4.44,1579.047,0.303859
4.45,1589.978,0.433697
4.46,1747.518,0.382962
4.47,1764.135,0.630146
4.48,1830.279,0.471854
4.49,1868.047,0.534166
4.50,1890.652,0.364143
4.51,1172.747,0.098420
4.52,574.322,0.094833
4.53,581.422,0.201278
4.54,584.483,0.208735
4.55,391.315,0.125553
4.56,596.999,0.062149
4.57,356.173,0.052543
4.58,519.374,0.072244
4.59,652.310,0.060865
4.60,483.646,0.065255
4.61,483.072,0.044999
4.62,484.959,0.042417
4.63,491.589,0.081893
4.64,1950.409,0.060000
4.65,67.473,0.133385
4.66,269.789,0.066409
4.67,331.770,0.078016
4.68,532.431,0.074725
4.69,331.499,0.174602
4.70,341.131,0.243620
4.71,340.095,0.223138
4.72,331.836,0.125079
4.73,328.084,0.094604
4.74,647.029,0.092954
4.75,589.152,0.033764
